啊	a_
阿	aa_
腌	aao_
吖	aak_
嗄	aakw
昂	ah_
盎	ahy_
肮	aho_
爱	ai_
哎	aikx
唉	aik_
艾	aic_
挨	aif_
埃	ait_
矮	aiu_
哀	aiw_
癌	aib_
嗳	aiky
碍	aiuc
暧	aio_
嫒	ain_
隘	aie_
霭	aiy_
蔼	aicv
皑	aibj
安	an_
按	anf_
俺	anr_
案	anb_
暗	ano_
岸	ane_
庵	ang_
胺	anon
氨	anq_
黯	anh_
鞍	angn
谙	any_
铵	anj_
桉	anm_
鹌	and_
奥	ao_
熬	aof_
傲	aor_
澳	aod_
嗷	aok_
袄	aop_
敖	aofw
凹	aol_
拗	aofl
鳌	aofa
坳	aot_
獒	aofq
翱	aob_
螯	aofi
骜	aofm
懊	aox_
遨	aoz_
鏊	aofj
鏖	aog_
欸	ais_
瑷	aiwy
锕	aaj_
卬	ahp_
嗌	aikm
砹	aiux
叆	aiey
锿	aij_
毐	aiuw
堨	aitv
唵	ank_
埯	ant_
犴	anqg
垵	antn
𩽾	ana_
盦	anrm
聱	aofe
媪	aon_
璈	aow_
廒	aogw
岙	aoy_
奡	aoa_
隩	aoe_
𬮿	aiej
捱	aift
安全	aq_
按照	av_
安排	ap_
按错	ac_
按时	au_
安静	aj_
昂贵	ag_
安定	ad_
安慰	aw_
爱惜	ax_
安保	ab_
安分	af_
拗口	ak_
按理	al_
黯然	ar_
暗算	as_
凹凸	at_
安逸	ay_
暗自	az_
暧昧	am_
挨饿	ae_
阿爸	aaba
阿伯	aabo
嗷嗷待哺	aadb
阿哥	aage
阿公	aags
啊哈	aaha
阿訇	aahs
暗暗称奇	aaiq
安安静静	aajj
阿拉	aala
阿妹	aamw
阿妈	aama
阿曼	aamj
阿门	aamf
阿婆	aapo
矮矮胖胖	aapp
安安全全	aaqq
阿嚏	aati
AA制	aavi
安安稳稳	aaww
阿姨	aayi
啊呀	aaya
啊哟	aayo
安安心心	aaxx
腌臜	aaza
爱不爱	abai
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过	abgo
阿布哈兹	abhz
矮半截	abjp
按部就班	abjb
阿波罗	ablo
爱别离苦	ablk
鞍不离马	ablm
爱不释手	abuu
熬不住	abvu
阿布扎比	abvb
按错了	acle
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
爱答不理	adbl
安道尔	ader
暗渡陈仓	adic
按道理	adl_
奥地利	adli
澳大利亚	adly
暗淡无光	adwg
安度晚年	adwn
阿尔卑斯	aebs
哀而不伤	aebu
阿尔巴尼亚	aeby
阿尔法	aefa
阿尔及利亚	aejy
阿尔及尔	aeje
爱尔兰	aelj
埃菲尔铁塔	afet
阿富汗	afhj
阿凡提	afti
安分守己	afuj
爱岗敬业	agjy
安哥拉	agla
阿根廷	agtk
熬更守夜	aguy
爱国者	agve
爱国主义	agvy
哀鸿遍野	ahby
昂贵	ahgv
昂起	ahqi
盎然	ahrj
安好如初	ahri
盎司	ahsi
安徽省	ahug
昂首	ahuz
爱好者	ahve
昂扬	ahyh
肮脏	ahzh
矮矮	aiai
癌变	aibm
爱才	aicd
挨打	aida
哀悼	aidc
爱戴	aidd
挨饿	aiee
挨罚	aifa
爱抚	aifu
爱妃	aifw
爱国	aigo
哀告	aigc
挨个	aige
爱岗	aigh
爱好	aihc
爱河	aihe
爱恨	aihf
爱火	aiho
爱护	aihu
哀愁	aiiz
爱巢	aiic
爱称	aiig
爱吃	aiii
挨近	aijb
埃及	aiji
爱将	aijl
爱看	aikj
爱哭	aiku
隘口	aikz
艾灸	aijq
按常理	aili
矮了	aile
爱恋	ailm
爱侣	ailv
按常理来说	ailu
爱慕	aimu
挨骂	aima
哀鸣	aimk
暧昧	aimw
爱民	aimb
矮胖	aiph
爱情	aiqk
矮墙	aiql
哀切	aiqp
哀求	aiqq
爱人	airf
哀思	aisi
哀啼	aiti
哀叹	aitj
爱听	aitk
哀痛	aits
爱神	aiuf
爱上	aiuh
碍事	aiui
碍手	aiuz
挨着	aive
癌症	aivg
爱玩	aiwj
爱心	aixb
爱惜	aixi
矮小	aixn
暗潮汹涌	aixy
哎呀	aiya
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
艾叶	aiye
矮子	aizi
爱憎	aizg
阿昌族	aizu
挨揍	aizz
挨家挨户	ajah
挨肩擦背	ajcb
安静了	ajle
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajsr
暗箭伤人	ajur
爱看不看	akbk
阿拉伯	albo
阿里巴巴	albb
爱理不理	albl
阿拉伯联合酋长国	albg
阿拉伯数字	albz
阿鲁巴	alba
阿拉丁	aldk
按劳分配	alfp
安理会	alhv
奥林匹克	alpk
阿联酋	alqq
按劳取酬	alqi
安乐死	alsi
按理说	aluo
阿里山	aluj
安乐窝	alwo
阿猫阿狗	amag
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
阿姆斯特丹	amsd
爱美之心	amvx
挨门逐户	amvh
奥妙无穷	amwq
爱慕虚荣	amxr
安眠药	amyc
爱面子	amzi
暗暗	anan
安保	anbc
案板	anbj
岸边	anbm
按捺不住	anbv
懊恼不已	anby
暗藏	anch
按此	anci
按错	anco
暗道	andc
暗地	andi
暗淡	andj
安定	andk
安度	andu
安顿	andy
案发	anfa
安分	anff
暗讽	anfg
安放	anfh
案犯	anfj
安抚	anfu
暗格	ange
暗沟	angz
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
暗黄	anhl
暗红	anhs
安徽	anhv
暗黑	anhw
安插	ania
暗潮	anic
暗沉	anif
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
按季	anji
安静	anjk
按键	anjm
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
安康	ankh
暗亏	ankv
案例	anli
安拉	anla
安乐	anle
按铃	anlk
暗恋	anlm
暗流	anlq
暗绿	anlv
安民	anmb
鞍马	anma
暗门	anmf
安眠	anmm
安谧	anmi
按摩	anmo
按钮	annq
按捺	anna
安能	anng
安宁	annk
按年	annm
安排	anpd
安培	anpw
安寝	anqb
按期	anqi
暗器	anqi2
案情	anqk
安全	anqr
按日	anri
安然	anrj
按揉	anrz
暗算	ansr
暗锁	anso
安泰	antd
暗探	antj
安妥	anto
案头	antz
暗示	anui
暗杀	anua
暗哨	anuc
鞍山	anuj
安设	anue
安神	anuf
安生	anug
岸上	anuh
按说	anuo
谙熟	anuu
安睡	anuv
安装	anvl
按照	anvc
按着	anve
安置	anvi
安卓	anvo
暗中	anvs
按住	anvu
安稳	anwf
安心	anxb
安息	anxi
安详	anxl
暗线	anxm
暗笑	anxn
安歇	anxp
按下	anxx
按压	anya
暗夜	anye
安逸	anyi
暗影	anyk
按月	anyt
暗语	anyu
案子	anzi
安葬	anzh
安坐	anzo
嗷嗷	aoao
傲岸	aoan
凹槽	aocc
熬到	aodc
奥迪	aodi
熬过	aogo
傲骨	aogu
懊悔	aohv
凹痕	aohf
熬成	aoig
傲娇	aojn
拗口	aokz
傲慢	aomj
澳门	aomf
奥秘	aomi
奥妙	aomn
懊恼	aonc
傲气	aoqi
傲人	aorf
傲然	aorj
懊丧	aosh
熬汤	aoth
凹凸	aotu
傲视	aoui
奥数	aouu
澳洲	aovz
鏖战	aovj
熬制	aovi
熬煮	aovu
翱翔	aoxl
凹陷	aoxm
熬药	aoyc
熬夜	aoye
奥运	aoyy
奥义	aoyi
澳元	aoyr
遨游	aoyz
凹下	aoxx
安贫乐道	apld
哀其不争	aqbv
安全第一	aqdy
爱琴海	aqhd
安全感	aqgj
安全局	aqju
鞍前马后	aqmh
安全起见	aqqj
爱钱如命	aqrm
爱情片	aqpm
安全性	aqxk
安然入睡	arru
安然入眠	arrm
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无恙	arwy
安然无事	arwu
黯然销魂	arxh
傲然屹立	aryl
安然自若	arzr
阿塞拜疆	asbj
埃塞俄比亚	asey
爱斯基摩	asjm
奥斯卡	aska
奥斯陆	aslu
阿司匹林	aspl
暗送秋波	asqb
凹凸不平	atbp
暗通款曲	atkq
凹透镜	atjk
按图索骥	atsj
安徒生	atug
凹凸有致	atyv
哀痛欲绝	atyj
碍手碍脚	auaj
爱说不说	aubu
昂首阔步	aukb
安身立命	aulm
阿诗玛	auma
爱沙尼亚	auny
傲视群雄	auqx
昂首挺胸	autx
唉声叹气	autq
爱谁谁	auuw
安身之地	auvd
安身之所	auvs
安史之乱	auvl
安身之处	auvi
安装版	avbj
安枕而卧	avew
安知非福	avff
暗中摸索	avms
安之若素	avrs
安枕无忧	avwy
爱之欲其生	avyu
奥委会	awhv
爱屋及乌	awjw
暗无天日	awtr
爱信不信	axbx
暗箱操作	axcz
按需分配	axfp
按下葫芦起来瓢	axhp
爱新觉罗	axjl
安享晚年	axwn
暗香疏影	axuy
爱惜羽毛	axym
奥运会	ayhv
爱因斯坦	ayst
安营扎寨	ayvv
哎呦喂	ayww
安于现状	ayxv
艾滋病	azbk
爱憎分明	azfm
腌臜泼才	azpc
暗自庆幸	azqx
爱咋咋地	azzd
不	b_
把	ba_
吧	bak_
八	bap_
巴	bav_
爸	bab_
罢	bas_
霸	bay_
拔	baf_
扒	bafb
坝	bat_
芭	bac_
叭	bakb
疤	babb
靶	bag_
捌	bafd
耙	bal_
跋	baz_
粑	bam_
钯	baj_
灞	bad_
笆	bavb
鲅	baa_
滨	bb_
斌	bbw_
宾	bbb_
彬	bbm_
鬓	bba_
殡	bbd_
缤	bbs_
槟	bbmb
摈	bbf_
膑	bbo_
玢	bbwd
镔	bbj_
濒	bbdr
报	bc_
包	bcb_
宝	bcby
保	bcr_
抱	bcf_
爆	bch_
暴	bco_
薄	bcc_
炮	bchs
堡	bcrt
曝	bcou
豹	bcv_
龅	bcv2
饱	bcu_
鲍	bca_
煲	bcrh
剥	bce_
